"Index","Var_name","Estimate","L_bound","U_bound","gradient","at_bound","family","target","p1","p2","p3","p4","mapped_value","absolute_error","mapped","note","fitted_index","local_index","jittered_value","jitter_method","jitter_space","jitter_scale","jitter_center","jitter_standardized_shift","jitter_effective_cv","jitter_max_safe_cv","jitter_cv_limited","jitter_safe_cv_cap_enabled","boundary_adjusted","nominal_cv"
11,"bs_selcoff_gp:31(31,1,1,1)",-4.40690268037509,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,1,31,31,-4.40690268037509,0,TRUE,NA,11,11,-4.26678085786944,"mean_preserving_scaled_beta","bounded_natural",0.440690268037509,-4.40690268037509,0.317959874924502,0.1,2.04805025537132,FALSE,TRUE,FALSE,0.1
12,"bs_selcoff_gp:31(31,1,1,2)",-2.43663934763594,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,2,31,31,-2.43663934763594,0,TRUE,NA,12,12,-2.5910428220734,"mean_preserving_scaled_beta","bounded_natural",0.243663934763594,-2.43663934763594,-0.633673894280919,0.1,3.38894890515442,FALSE,TRUE,FALSE,0.1
13,"bs_selcoff_gp:31(31,1,1,3)",-0.176271719719267,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,3,31,31,-0.176271719719267,0,TRUE,NA,13,13,-0.203446937161619,"mean_preserving_scaled_beta","bounded_natural",0.0176271719719267,-0.176271719719267,-1.54166632546795,0.1,39.8632575452486,FALSE,TRUE,FALSE,0.1
14,"bs_selcoff_gp:31(31,1,1,4)",-0.132666201252373,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,4,31,31,-0.132666201252373,0,TRUE,NA,14,14,-0.139488847018185,"mean_preserving_scaled_beta","bounded_natural",0.0132666201252373,-0.132666201252373,-0.51427158548342,0.1,52.7574413203247,FALSE,TRUE,FALSE,0.1
15,"bs_selcoff_gp:31(31,1,1,5)",1.15749431960391,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",2,1,31,31,1.15749431960391,0,TRUE,NA,15,15,1.03245835011338,"mean_preserving_scaled_beta","bounded_natural",0.115749431960391,1.15749431960391,-1.08022965964374,0.1,5.27905303219836,FALSE,TRUE,FALSE,0.1
16,"bs_selcoff_gp:32(32,1,1,1)",-4.40690268037509,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,1,32,32,-4.40690268037509,0,TRUE,NA,16,16,-4.18353699739722,"mean_preserving_scaled_beta","bounded_natural",0.440690268037509,-4.40690268037509,0.506854131298545,0.1,2.04805025537132,FALSE,TRUE,FALSE,0.1
17,"bs_selcoff_gp:32(32,1,1,2)",-2.43663934763594,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,2,32,32,-2.43663934763594,0,TRUE,NA,17,17,-1.96732320276174,"mean_preserving_scaled_beta","bounded_natural",0.243663934763594,-2.43663934763594,1.92607964461188,0.1,3.38894890515442,FALSE,TRUE,FALSE,0.1
18,"bs_selcoff_gp:32(32,1,1,3)",-0.176271719719267,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,3,32,32,-0.176271719719267,0,TRUE,NA,18,18,-0.137818464793387,"mean_preserving_scaled_beta","bounded_natural",0.0176271719719267,-0.176271719719267,2.18147613168586,0.1,39.8632575452486,FALSE,TRUE,FALSE,0.1
19,"bs_selcoff_gp:32(32,1,1,4)",-0.132666201252373,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,4,32,32,-0.132666201252373,0,TRUE,NA,19,19,-0.11123032473386,"mean_preserving_scaled_beta","bounded_natural",0.0132666201252373,-0.132666201252373,1.61577525520124,0.1,52.7574413203247,FALSE,TRUE,FALSE,0.1
20,"bs_selcoff_gp:32(32,1,1,5)",1.15749431960391,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",2,1,32,32,1.15749431960391,0,TRUE,NA,20,20,1.37500157341901,"mean_preserving_scaled_beta","bounded_natural",0.115749431960391,1.15749431960391,1.87912156570698,0.1,5.27905303219836,FALSE,TRUE,FALSE,0.1
21,"bs_selcoff_gp:33(33,1,1,1)",-4.40690268037509,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,1,33,33,-4.40690268037509,0,TRUE,NA,21,21,-3.51088788239774,"mean_preserving_scaled_beta","bounded_natural",0.440690268037509,-4.40690268037509,2.03320759037295,0.1,2.04805025537132,FALSE,TRUE,FALSE,0.1
22,"bs_selcoff_gp:33(33,1,1,2)",-2.43663934763594,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,2,33,33,-2.43663934763594,0,TRUE,NA,22,22,-2.24180760275949,"mean_preserving_scaled_beta","bounded_natural",0.243663934763594,-2.43663934763594,0.799592049046902,0.1,3.38894890515442,FALSE,TRUE,FALSE,0.1
23,"bs_selcoff_gp:33(33,1,1,3)",-0.176271719719267,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,3,33,33,-0.176271719719267,0,TRUE,NA,23,23,-0.160439163111068,"mean_preserving_scaled_beta","bounded_natural",0.0176271719719267,-0.176271719719267,0.89819039795007,0.1,39.8632575452486,FALSE,TRUE,FALSE,0.1
24,"bs_selcoff_gp:33(33,1,1,4)",-0.132666201252373,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,4,33,33,-0.132666201252373,0,TRUE,NA,24,24,-0.136540149406184,"mean_preserving_scaled_beta","bounded_natural",0.0132666201252373,-0.132666201252373,-0.292007166651337,0.1,52.7574413203247,FALSE,TRUE,FALSE,0.1
25,"bs_selcoff_gp:33(33,1,1,5)",1.15749431960391,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",2,1,33,33,1.15749431960391,0,TRUE,NA,25,25,1.23111687676451,"mean_preserving_scaled_beta","bounded_natural",0.115749431960391,1.15749431960391,0.636051131428425,0.1,5.27905303219836,FALSE,TRUE,FALSE,0.1
