"Index","Var_name","Estimate","L_bound","U_bound","gradient","at_bound","family","target","p1","p2","p3","p4","mapped_value","absolute_error","mapped","note","fitted_index","local_index","jittered_value","jitter_method","jitter_space","jitter_scale","jitter_center","jitter_standardized_shift","jitter_effective_cv","jitter_max_safe_cv","jitter_cv_limited","jitter_safe_cv_cap_enabled","boundary_adjusted","nominal_cv"
1,"bs_selcoff_gp:29(29,1,1,1)",-4.40690268037509,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,1,29,29,-4.40690268037509,0,TRUE,NA,1,1,-3.8699016010391,"mean_preserving_scaled_beta","bounded_natural",0.440690268037509,-4.40690268037509,1.21854535551098,0.1,2.04805025537132,FALSE,TRUE,FALSE,0.1
2,"bs_selcoff_gp:29(29,1,1,2)",-2.43663934763594,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,2,29,29,-2.43663934763594,0,TRUE,NA,2,2,-2.38537560766165,"mean_preserving_scaled_beta","bounded_natural",0.243663934763594,-2.43663934763594,0.210387064560957,0.1,3.38894890515442,FALSE,TRUE,FALSE,0.1
3,"bs_selcoff_gp:29(29,1,1,3)",-0.176271719719267,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,3,29,29,-0.176271719719267,0,TRUE,NA,3,3,-0.166107335708443,"mean_preserving_scaled_beta","bounded_natural",0.0176271719719267,-0.176271719719267,0.576631579189928,0.1,39.8632575452486,FALSE,TRUE,FALSE,0.1
4,"bs_selcoff_gp:29(29,1,1,4)",-0.132666201252373,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,4,29,29,-0.132666201252373,0,TRUE,NA,4,4,-0.128335849933581,"mean_preserving_scaled_beta","bounded_natural",0.0132666201252373,-0.132666201252373,0.326409535956677,0.1,52.7574413203247,FALSE,TRUE,FALSE,0.1
5,"bs_selcoff_gp:29(29,1,1,5)",1.15749431960391,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",2,1,29,29,1.15749431960391,0,TRUE,NA,5,5,1.08131368330903,"mean_preserving_scaled_beta","bounded_natural",0.115749431960391,1.15749431960391,-0.658151275601457,0.1,5.27905303219836,FALSE,TRUE,FALSE,0.1
6,"bs_selcoff_gp:30(30,1,1,1)",-4.40690268037509,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,1,30,30,-4.40690268037509,0,TRUE,NA,6,6,-4.82417927326912,"mean_preserving_scaled_beta","bounded_natural",0.440690268037509,-4.40690268037509,-0.946870451104467,0.1,2.04805025537132,FALSE,TRUE,FALSE,0.1
7,"bs_selcoff_gp:30(30,1,1,2)",-2.43663934763594,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,2,30,30,-2.43663934763594,0,TRUE,NA,7,7,-2.44180112262238,"mean_preserving_scaled_beta","bounded_natural",0.243663934763594,-2.43663934763594,-0.0211839925816064,0.1,3.38894890515442,FALSE,TRUE,FALSE,0.1
8,"bs_selcoff_gp:30(30,1,1,3)",-0.176271719719267,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,3,30,30,-0.176271719719267,0,TRUE,NA,8,8,-0.160721674781787,"mean_preserving_scaled_beta","bounded_natural",0.0176271719719267,-0.176271719719267,0.882163342040675,0.1,39.8632575452486,FALSE,TRUE,FALSE,0.1
9,"bs_selcoff_gp:30(30,1,1,4)",-0.132666201252373,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",1,4,30,30,-0.132666201252373,0,TRUE,NA,9,9,-0.152566689769955,"mean_preserving_scaled_beta","bounded_natural",0.0132666201252373,-0.132666201252373,-1.50004208530285,0.1,52.7574413203247,FALSE,TRUE,FALSE,0.1
10,"bs_selcoff_gp:30(30,1,1,5)",1.15749431960391,-20,7,0,FALSE,"selectivity_coff","fishery_sel_group",2,1,30,30,1.15749431960391,0,TRUE,NA,10,10,1.16190624925908,"mean_preserving_scaled_beta","bounded_natural",0.115749431960391,1.15749431960391,0.0381162099929449,0.1,5.27905303219836,FALSE,TRUE,FALSE,0.1
