"key","axis","fixed_steepness","fixed_tau","selectivity","DM_Nmax","DM_concentration","initialization","audit_status","final_par_sha256","final_rep_sha256"
"steepness-0.65","Steepness",0.65,2,"Diagnostic (F10 and F33 weak non-decreasing)",25,7,"ordinary makepar; no seed or checkpoint","passed","e0281de31c1832e8d97f923eb38515a21ca0ba49ded0544865bd84a5323f64d4","0af59a6cefcd52a76cbf9f503f7bbc29cebaf897e095930e29f029ba18b8a2e5"
"steepness-0.80","Steepness",0.8,2,"Diagnostic (F10 and F33 weak non-decreasing)",25,7,"ordinary makepar; no seed or checkpoint","passed","7db4decd97101bfcf85e1ec0c7e2633329a1245409a1ff5f1d6799074ef20775","fce9565a84e48109a8c3e943df6a4e058a935b2f6936152c544ebe7e710a01b9"
"steepness-0.95","Steepness",0.95,2,"Diagnostic (F10 and F33 weak non-decreasing)",25,7,"ordinary makepar; no seed or checkpoint","passed","a50577dddfdbc924147785d39b5c8f7e9b8fc8c1da6f999a475da9f521086206","31dface4d834611e9829dff337f32e44ece2e9e30b7db2e66ad681557a07592f"
"tau-1.006738","Tag overdispersion",0.9,1.006737947,"Diagnostic (F10 and F33 weak non-decreasing)",25,7,"ordinary makepar; no seed or checkpoint","passed","2499cc3b9609cf9d1533f6640d1118fddfd40e0fff712efe312c3d18d6284336","c3823dfb2f08435296fc8f6dc8503be132c05f858152dae778f6ba5a2500d4ac"
"tau-1.2","Tag overdispersion",0.9,1.2,"Diagnostic (F10 and F33 weak non-decreasing)",25,7,"ordinary makepar; no seed or checkpoint","passed","223c7116d4425f1a8228ca55369690c7eb84075ce999bfe90d9c719d67f27040","2206a7fffd3acc20685b875896cc07b551bdcaecd2319a4912b1259ea4bf456e"
"tau-1.4","Tag overdispersion",0.9,1.4,"Diagnostic (F10 and F33 weak non-decreasing)",25,7,"ordinary makepar; no seed or checkpoint","passed","16d3f8beec7088c2a225a62a8f273d5b1550971bb976e0e95dbee3c2a7df7fbd","a1a3bac719837577076b0e0bf8c6cce0516111ed605d3b8209552cb57ce780fe"
"tau-1.6","Tag overdispersion",0.9,1.6,"Diagnostic (F10 and F33 weak non-decreasing)",25,7,"ordinary makepar; no seed or checkpoint","passed","9f33967e3a1144c09df059ec09f4f96a96d37b5603c30e865d76d3fb9704a3c7","92d033c3ccc009db164454cf1267ba4786b284289d5a1ce5bd4ac02db4ef4c8f"
"tau-1.8","Tag overdispersion",0.9,1.8,"Diagnostic (F10 and F33 weak non-decreasing)",25,7,"ordinary makepar; no seed or checkpoint","passed","0d7929f1d846e08f44fbcc0fba6da3df3c29b71c08166b3efea7b89cf37df8f1","e64ef841f3d663ceb59894aaeab971296ec93dcf0f9f1d66e42ff260ed37bf11"
"tag-mixing-k-0.1","Tag mixing periods (KS D-statistic cutoff)",0.9,2,"Diagnostic (F10 and F33 weak non-decreasing)",25,7,"ordinary makepar; no seed or checkpoint","passed","3958b20a9a5e70feecc2ca4d3a81c9b2b831648d967d18bccb9895305047291f","2b20df9403e2475e501fc461752cc9c8ae4d3789cc72f2f8b2a151bcc524bd71"
"tag-mixing-k-0.3","Tag mixing periods (KS D-statistic cutoff)",0.9,2,"Diagnostic (F10 and F33 weak non-decreasing)",25,7,"ordinary makepar; no seed or checkpoint","passed","c044c7d5655139b293e97142ee23f45d3d7a3bcda767c13abeb245dd083856f4","ceea044cf187478b6d339bd1fe2f45a6ccf0b506fadf5beb788c0b7a84ad9c44"
"caal-0.5-sub-basin","Conditional age-at-length",0.9,2,"Diagnostic (F10 and F33 weak non-decreasing)",25,7,"ordinary makepar; no seed or checkpoint","passed","911069931d3fdf91cb93331301bbb9aa70dff1ccc466f46a3e2824c8aa68aff0","d3e8611625a7132fec05c417869a46f17dd6dfa7e7482997f7718a96f02067e0"
