"year","depletion","spawning_potential","spawning_potential_nofish","recruitment","fishing_mortality","key","axis","label","reference","alternative","is_diagnostic","model_order"
1952,0.992718785649431,1279.2075,1288.59,82.43232,0.0113970964769492,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1953,0.970127209310252,1280.825,1320.265,68.380895,0.0108730788462706,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1954,0.95650726335956,1285.6175,1344.075,96.589249,0.00742765942227377,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1955,0.945397444743166,1291.42,1366.0075,107.0488784,0.0108464259251864,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1956,0.930928381389111,1291.1325,1386.93,56.46881,0.0147445825589784,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1957,0.917530865047377,1332.8925,1452.695,43.0730089,0.0211289970457735,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1958,0.8934497622691,1307.8675,1463.84,89.723684,0.0280299930338656,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1959,0.862154700592518,1201.5225,1393.6275,42.821349,0.020419106001968,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1960,0.837247211337865,1087.5925,1299.01,54.317169,0.0242381322333099,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1961,0.825592877600478,1049.2625,1270.92,55.3850047,0.0203597663694151,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1962,0.813186881226433,985.0275,1211.3175,59.07401,0.0192645872688557,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1963,0.801829156601062,930.2,1160.0975,63.332494,0.0231468068164297,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1964,0.787853216919479,868.295,1102.1025,48.7718412,0.0163634783014817,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1965,0.792429781000033,846.525,1068.265,41.7403268,0.0187471019809872,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1966,0.797690797610089,840.11,1053.1775,78.4844424,0.0180802816030405,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1967,0.792873385203486,806.3225,1016.9625,34.776594,0.0228161443314717,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1968,0.789533861263289,769.9475,975.1925,51.469701,0.0185642114779342,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1969,0.7935836237068,772.635,973.6025,55.8557205,0.0218777848796117,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1970,0.789019425503866,746.655,946.3075,52.355611,0.0333189222529836,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1971,0.785610476939345,724.3525,922.025,36.8597639,0.0386312801543574,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1972,0.781162160919167,721.87,924.0975,39.963115,0.0519750027757593,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1973,0.760694082145569,678.735,892.2575,61.706589,0.0327344648278894,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1974,0.747739813088462,642.6805,859.4975,28.3493459,0.0512456770837125,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1975,0.733578194986007,619.89925,845.035,88.200253,0.0456469202381609,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1976,0.707299877956822,583.8955,825.5275,31.893098,0.0563194389596374,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1977,0.686876460367863,573.23275,834.55,70.1435976,0.0691659896316577,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1978,0.678178441872517,588.89625,868.35,9.426178,0.0559461573534831,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1979,0.660691370919609,575.62075,871.24,37.7960858,0.0714640038050984,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1980,0.634473224135001,550.718,867.9925,54.8923,0.0605851907694716,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1981,0.610977156975227,503.2405,823.665,68.414306,0.0895180703784611,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1982,0.59841792558553,477.9175,798.635,71.999332,0.108998562058342,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1983,0.590015830777002,478.92175,811.71,60.827005,0.131420193785134,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1984,0.585393393772353,510.27425,871.6775,59.4597418,0.149423101500825,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1985,0.56475083385268,527.85425,934.6675,70.3906389,0.138818091540197,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1986,0.539102818268137,516.67075,958.39,53.649452,0.155666531385061,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1987,0.522464493958485,517.68525,990.8525,91.1958628,0.16798788622292,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1988,0.502368194477179,522.21425,1039.505,84.875882,0.146839551483797,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1989,0.488016118931065,520.141,1065.8275,75.974982,0.133131523137586,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1990,0.481915058895096,550.58675,1142.4975,71.921575,0.180093957258896,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1991,0.471830942009709,567.59375,1202.96,70.8973142,0.20813305970467,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1992,0.454686373029701,561.06025,1233.95,89.759642,0.236250014406091,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1993,0.426557061408742,527.26825,1236.1025,50.532514,0.194520522608098,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1994,0.403507598373932,508.20975,1259.48,101.382458,0.191558197415644,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1995,0.377615517890182,481.67125,1275.56,38.352809,0.187654855284961,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1996,0.36924345328469,466.33325,1262.9425,113.47534,0.204632987861228,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1997,0.384320352767339,495.47925,1289.235,44.318744,0.289326956680959,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1998,0.368505791038453,487.11675,1321.87,110.740917,0.269487378368663,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1999,0.343750185873606,462.344,1345,74.476699,0.425757016728022,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2000,0.312775730728972,425.063,1359.0025,118.303816,0.330468449587084,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2001,0.289565063352168,396.39575,1368.935,54.585515,0.288968332676617,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2002,0.275380038599197,387.395,1406.765,96.789269,0.256250584194768,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2003,0.259960987497568,380.82075,1464.915,66.339064,0.315269950005464,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2004,0.250962382487151,374.53375,1492.39,111.62659,0.335363136961467,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2005,0.228864776357293,341.74775,1493.23,68.679918,0.341401945211402,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2006,0.22273458329106,334.79625,1503.1175,79.245503,0.339959192854111,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2007,0.217198268901065,332.86775,1532.5525,86.220803,0.382735676214902,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2008,0.208522707861897,320.44675,1536.7475,82.976828,0.505009981100325,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2009,0.196563529658283,297.8365,1515.2175,90.927777,0.369994470178494,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2010,0.182814277552845,275.997,1509.7125,66.692475,0.287280245589021,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2011,0.181754736935161,277.55675,1527.095,72.512588,0.418078443664183,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2012,0.176271639509127,270.365,1533.7975,107.707758,0.362439682685157,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2013,0.16830879899882,253.5105,1506.2225,102.06888,0.342029716807126,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2014,0.171424568159078,259.9855,1516.6175,61.102049,0.420036732179472,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2015,0.177121215248395,278.90525,1574.6575,81.841036,0.33984614596639,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2016,0.17808569525043,286.01275,1606.04,82.628868,0.47109338418209,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2017,0.175712976270673,278.44225,1584.6425,86.341329,0.321885660909899,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2018,0.175932033998965,275.49725,1565.93,66.52907,0.372755631398652,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2019,0.17520573345278,273.31525,1559.9675,72.010138,0.26351964755267,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2020,0.178712793939755,277.377,1552.0825,82.411222,0.421776954979859,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2021,0.185328213124598,283.169,1527.9325,72.091352,0.425844338318709,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2022,0.188611504374898,284.43275,1508.035,59.857825,0.571483575871301,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2023,0.183232559519269,270.23825,1474.8375,81.035793,0.544559808328939,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2024,0.161670357810229,233.5975,1444.9,69.336489,0.432961850576892,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1952,0.992718140653331,1279.775,1289.1625,82.46893,0.0113920925037827,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1953,0.970140496383964,1281.4125,1320.8525,68.405433,0.0108682750959121,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1954,0.956498297969648,1286.22,1344.7175,96.621569,0.00742488258893638,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1955,0.945179950584229,1292.035,1366.9725,107.1002316,0.0108418983570879,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1956,0.930111407726357,1291.755,1388.8175,56.4931267,0.0147383315698265,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1957,0.915730182764576,1333.5275,1456.245,43.0879852,0.0211205574581854,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1958,0.890762666721127,1308.4925,1468.9575,89.755708,0.0280184999196977,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1959,0.858755306476357,1202.105,1399.8225,42.832511,0.0204113980534383,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1960,0.832998731127192,1088.1275,1306.2775,54.3301623,0.0242282921324901,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1961,0.819889565329449,1049.7825,1280.395,55.4268931,0.0203502967089773,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1962,0.80592758266089,985.5225,1222.8425,59.103979,0.0192557022462396,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1963,0.792453312159806,930.675,1174.4225,63.353223,0.0231373196810552,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1964,0.776306324419722,868.745,1119.075,48.7885365,0.0163567411834299,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1965,0.778018656904938,846.955,1088.605,41.7529153,0.0187396416551639,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1966,0.780133467605333,840.5275,1077.415,78.5114361,0.0180731956756572,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1967,0.772716932426899,806.73,1044.0175,34.789646,0.0228075918707297,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1968,0.766968348317851,770.32,1004.37,51.483632,0.0185574576568747,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1969,0.768335441355164,773.005,1006.0775,55.8736424,0.0218703559232342,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1970,0.761808243206723,747.0025,980.565,52.370007,0.0333100698893474,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1971,0.756454887551605,724.68,957.995,36.8680682,0.038618801398662,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1972,0.750122046221761,722.18,962.75,39.9752,0.0519604338441952,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1973,0.728948159440049,679.0225,931.51,61.729031,0.032725120961164,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1974,0.715004239820954,642.94075,899.2125,28.3563775,0.0512327451464516,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1975,0.699819165622849,620.15875,886.17,88.227355,0.0456325453789477,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1976,0.672955661477759,584.15075,868.0375,31.902394,0.0563026286712426,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1977,0.650897184169608,573.499,881.09,70.1651471,0.0691455010128338,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1978,0.639658598020748,589.16075,921.055,9.4298752,0.0559310509170267,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1979,0.62013611265907,575.88475,928.6425,37.8080592,0.0714463190245242,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1980,0.59224144185784,550.9785,930.3275,54.910173,0.0605647694464764,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1981,0.567758213381596,503.4965,886.815,68.432133,0.089491632423553,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1982,0.553009888394148,478.16,864.65,72.0182733,0.108961875324724,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1983,0.541129039088638,479.163,885.4875,60.839552,0.131379362088672,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1984,0.531464627668573,510.52625,960.6025,59.4764149,0.149367091596995,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1985,0.50778864274451,528.1205,1040.04,70.4070012,0.138779701168734,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1986,0.481023533024398,516.93675,1074.66,53.660717,0.155615476049441,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1987,0.463004985887101,517.944,1118.6575,91.2152118,0.167934300199337,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1988,0.442501524467707,522.47925,1180.74,84.893835,0.146810651605308,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1989,0.427416460307096,520.3945,1217.535,75.99098,0.13309243787761,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1990,0.419067280846564,550.85975,1314.49,71.934227,0.180036024081576,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1991,0.407707343515259,567.866,1392.8275,70.9101978,0.208068052832673,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1992,0.390884750235889,561.332,1436.055,89.774687,0.236170683319935,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1993,0.365369664627548,527.53625,1443.8425,50.547122,0.194456971375023,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1994,0.344482891781755,508.47225,1476.045,101.404594,0.19149777432643,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1995,0.321284262385792,481.928,1500.005,38.356038,0.187589196988187,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1996,0.312661557147045,466.58875,1492.3125,113.494212,0.204567271266556,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1997,0.32294511958777,495.74175,1535.065,44.329406,0.289233009619911,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1998,0.306877260807012,487.384,1588.205,110.748027,0.269420199677203,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1999,0.283745970994225,462.6095,1630.365,74.479628,0.425549908267934,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2000,0.256405085726687,425.3145,1658.76,118.322603,0.33037838044111,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2001,0.236002195582357,396.6365,1680.6475,54.597309,0.288883951659708,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2002,0.222560595751766,387.626,1741.665,96.797639,0.256179410735668,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2003,0.207816750178955,381.045,1833.5625,66.343856,0.315176565581551,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2004,0.198166139414122,374.7505,1891.0925,111.640075,0.335256293918123,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2005,0.178504041104025,341.94725,1915.6275,68.684717,0.341284441589596,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2006,0.171445405762277,334.98975,1953.915,79.251225,0.339874223443407,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2007,0.164937008809853,333.06225,2019.33,86.225695,0.382632310093312,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2008,0.156151934613132,320.6295,2053.3175,82.981705,0.504892703895265,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2009,0.145240877317604,298.0085,2051.8225,90.93833,0.369903555492987,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2010,0.133250461404842,276.15825,2072.475,66.694399,0.287220828149463,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2011,0.1305803524198,277.7085,2126.725,72.516237,0.417964568553811,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2012,0.12477965503602,270.51075,2167.9075,107.721921,0.362362097562713,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2013,0.117373237236959,253.6465,2161.025,102.079453,0.34195561784548,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2014,0.117577721100159,260.11925,2212.3175,61.106663,0.419939259315198,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2015,0.119435072862932,279.049,2336.4075,81.846922,0.339770960678988,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2016,0.118295546382973,286.16225,2419.045,82.63648,0.470975713594557,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2017,0.115459255038077,278.58875,2412.875,86.349565,0.321807457289498,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2018,0.114821290772062,275.642,2400.6175,66.534207,0.372664837780968,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2019,0.11392083918298,273.459,2400.43,72.017181,0.263449638107423,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2020,0.115891554202541,277.52,2394.6525,82.413255,0.421675686241486,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2021,0.119879384886192,283.31125,2363.3025,72.094452,0.425723237310928,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2022,0.121756179584188,284.5725,2337.2325,59.856866,0.5713788102032,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2023,0.118171666091183,270.3685,2287.93,81.030395,0.544511915304278,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
2024,0.104275536826325,233.7125,2241.2975,69.350545,0.432868251820985,"steepness-0.65","Steepness","h = 0.65","0.90","0.65",FALSE,1
1952,0.992721573009296,1279.36,1288.74,82.44202,0.0113958135910688,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1953,0.970132665870204,1280.985,1320.4225,68.386738,0.0108719003053893,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1954,0.956509124993723,1285.785,1344.2475,96.605641,0.00742643571102514,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1955,0.945332613608293,1291.5725,1366.2625,107.0502694,0.0108454335475478,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1956,0.930701258076955,1291.2875,1387.435,56.4749696,0.0147430651532716,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1957,0.917030259774879,1333.0525,1453.6625,43.0753256,0.0211271565442009,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1958,0.892700355060681,1308.0225,1465.2425,89.730313,0.0280273285880144,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1959,0.861201044199301,1201.6575,1395.3275,42.816326,0.0204180926260894,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1960,0.836068408916218,1087.725,1301,54.3231743,0.0242340554777972,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1961,0.824022033808468,1049.39,1273.4975,55.4009071,0.0203570841924347,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1962,0.811184348663815,985.155,1214.465,59.082904,0.0192623174040811,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1963,0.799234118043758,930.3225,1164.0175,63.335704,0.0231443247555092,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1964,0.784636652563909,868.4025,1106.7575,48.7773509,0.0163616899970986,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1965,0.788411708420928,846.63,1073.8425,41.7416615,0.0187454480856297,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1966,0.792783697270062,840.21,1059.8225,78.4893565,0.0180783446010627,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1967,0.787242921886325,806.43,1024.3725,34.782879,0.0228139270657578,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1968,0.783203144865184,770.0375,983.19,51.474981,0.0185624718466151,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1969,0.786507647718916,772.73,982.4825,55.8555772,0.0218763171142452,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1970,0.781387585968749,746.735,955.6525,52.362093,0.0333180053729273,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1971,0.777463866687057,724.435,931.7925,36.8604329,0.0386298980006234,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1972,0.772505483922744,721.945,934.55,39.965286,0.0519727795688267,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1973,0.751866353577085,678.8075,902.83,61.713471,0.0327333261322211,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1974,0.73864824098947,642.744,870.1625,28.3529994,0.0512424847130964,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1975,0.724216167279949,619.96525,856.05,88.204585,0.0456443698636157,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1976,0.697783745675929,583.96475,836.885,31.898115,0.0563148990329277,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1977,0.676847812612528,573.30025,847.015,70.148319,0.0691607560801383,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1978,0.667365612110774,588.9635,882.52,9.4255217,0.0559393746851595,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1979,0.649232135556903,575.68225,886.7125,37.7988631,0.0714552327332387,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1980,0.622477643568553,550.776,884.8125,54.896596,0.0605786340801685,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1981,0.598662733471511,503.30025,840.7075,68.418862,0.0895078990490838,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1982,0.585460474943732,477.97725,816.4125,72.0035611,0.108987648548552,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1983,0.575995478445956,478.982,831.5725,60.830792,0.131406762852222,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1984,0.569778379434505,510.33625,895.675,59.4620733,0.149408781413465,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1985,0.548092661086237,527.916,963.1875,70.3965379,0.138807790814123,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1986,0.522016724376119,516.73,989.8725,53.649404,0.155652028138951,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1987,0.50495469795385,517.75025,1025.34,91.2016007,0.167973819656017,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1988,0.484753553644603,522.28075,1077.415,84.880738,0.146830995200093,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1989,0.470201092347915,520.19875,1106.3325,75.980264,0.133117326534886,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1990,0.463463650710153,550.65275,1188.125,71.927648,0.180082084087124,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1991,0.453010464153541,567.66175,1253.0875,70.9203383,0.208108286578633,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1992,0.435944528609719,561.126,1287.15,89.743761,0.23624859834989,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1993,0.408582059919072,527.3395,1290.6575,50.530472,0.194506416145456,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1994,0.386194399120149,508.283,1316.1325,101.388355,0.19153980861842,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1995,0.361109705613931,481.7375,1334.0475,38.352682,0.187643154640873,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1996,0.352654949226105,466.39675,1322.53,113.483686,0.204616337453487,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1997,0.366276897491569,495.54975,1352.9375,44.320996,0.289303107863934,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1998,0.350275011683503,487.18,1390.85,110.746348,0.269458012552603,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
1999,0.325883445300126,462.4115,1418.9475,74.475201,0.425715080591985,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
2000,0.295916506425594,425.12475,1436.6375,118.307464,0.330441395524366,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
2001,0.273494412251656,396.4575,1449.6,54.589391,0.288948010589081,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
2002,0.259452337784742,387.4525,1493.3475,96.789979,0.256235861990319,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
2003,0.244118259721448,380.87575,1560.21,66.340189,0.315248702698523,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
2004,0.234775605368799,374.588,1595.515,111.632511,0.335343856857902,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
2005,0.213278505419352,341.798,1602.59,68.680038,0.341384423464917,"steepness-0.80","Steepness","h = 0.80","0.90","0.80",FALSE,2
