key,objective_function,maximum_gradient_component,active_parameters,hessian_evaluated,positive_definite_hessian,nonpositive_eigenvalues,smallest_eigenvalue
steepness-0.65,90815.0642162230,0.00241966389212516,1997,TRUE,TRUE,0,2.4397e-07
steepness-0.80,90814.9146887113,9.82115973766165e-05,1997,TRUE,TRUE,0,2.4047e-07
steepness-0.95,90814.8365229167,8.19855430826730e-05,1997,TRUE,TRUE,0,2.4074e-07
tau-1.006738,89811.0673459069,7.85510586707696e-05,1997,TRUE,TRUE,0,2.9858e-07
tau-1.2,90708.6787013523,9.92890524622046e-05,1997,TRUE,TRUE,0,2.8001e-07
tau-1.4,94950.7131129635,6.97423170349682e-05,1997,TRUE,TRUE,0,2.4037e-07
tau-1.6,89888.8365703403,9.27598609696853e-05,1997,TRUE,TRUE,0,2.5655e-07
tau-1.8,95044.1727219234,9.11402054984179e-05,1997,TRUE,TRUE,0,2.9120e-07
tag-mixing-k-0.1,94713.6101541318,9.62949452148969e-05,1997,TRUE,TRUE,0,4.9438e-07
tag-mixing-k-0.3,100605.311611544,0.000937013639206611,1997,TRUE,TRUE,0,3.8250e-07
caal-0.5-sub-basin,88772.9011785227,9.55808290271816e-05,1997,TRUE,TRUE,0,2.3656e-07
caal-1.0-sub-basin,101291.613504231,9.19076837281613e-05,1997,TRUE,TRUE,0,2.4011e-07
lorenzen-m-scalar-0.062,91019.7727018489,9.95509374508985e-05,1997,TRUE,TRUE,0,2.6322e-07
lorenzen-m-scalar-0.1,91685.4903545641,9.58405377818758e-05,1997,TRUE,TRUE,0,2.4825e-07
effort-creep-high,90830.5774377065,8.38379045811389e-05,1997,TRUE,TRUE,0,2.3182e-07
regional-scaling-whole-period,90084.8884581437,9.12155405729382e-05,1997,TRUE,TRUE,0,2.7126e-07
pre-mixing-tag-reporting-inclusion,94961.0355748004,8.64032645459124e-05,1997,TRUE,TRUE,0,2.6053e-07
