"axis","distribution","minimum","q25","median","mean","q75","maximum","sd"
"Steepness","0.2 + 0.8 * Beta(17.541500, 3.403575)",0.668842859607944,0.832689258832011,0.878653224858925,0.870083910149608,0.916592740640759,0.980467458423588,0.0629115338350823
"Quarterly M at age 40","Truncated lognormal(0.050, 0.165; mode 0.0702; log-SD 0.287645)",0.05,0.0657108351380769,0.0781360768197088,0.0820702650606509,0.093876558996219,0.165,0.0221386619134993
