"axis","parameter","value"
"Steepness","lower",0.2
"Steepness","upper",1
"Steepness","mean",0.87
"Steepness","sd",0.063
"Steepness","beta_alpha",17.5414997480474
"Steepness","beta_beta",3.40357457797934
"Quarterly M at age 40","lower",0.05
"Quarterly M at age 40","upper",0.165
"Quarterly M at age 40","mode",0.0702
"Quarterly M at age 40","conditional_median",0.0781360768197088
"Quarterly M at age 40","meanlog",-2.57366737146437
"Quarterly M at age 40","log_sd",0.28764491388863
"Quarterly M at age 40","hamel_cope_log_sd",0.31
"Design","models",100
"Design","seed",20260802
"Design","candidate_permutations",20000
